preco_total,quartos,banheiros,suites,vagas,mobiliado,area_util
3090,1,1,1,1,1,30.0
6361,2,2,1,1,0,70.0
4071,1,1,1,1,1,45.0
6115,3,3,1,2,0,91.0
3620,1,1,1,1,1,58.0
1650,2,1,0,0,0,48.0
4700,1,1,0,1,1,40.0
10207,1,1,1,1,1,61.0
4700,1,1,1,1,1,45.0
1779,2,1,0,1,0,56.0
3500,1,1,1,1,1,45.0
28000,4,6,4,3,0,354.0
3300,1,1,1,0,1,28.0
20735,3,3,1,2,0,177.0
1800,2,1,0,1,0,80.0
11230,4,3,1,2,0,178.0
7700,5,5,1,2,0,386.0
5585,1,1,0,1,1,45.0
7001,2,1,0,2,1,150.0
1630,3,2,1,1,0,66.0
1510,2,2,0,1,0,50.0
1020,1,1,0,0,0,30.0
5000,3,2,0,1,1,200.0
1450,1,1,0,0,0,38.0
2138,2,1,0,0,1,80.0
2435,3,1,0,3,1,65.0
7750,1,1,1,1,1,38.0
3500,1,1,1,1,1,55.0
3402,1,1,0,1,0,40.0
2850,1,1,1,1,1,40.0
12735,2,3,1,1,0,240.0
4123,3,2,1,1,0,71.0
3300,3,3,1,2,0,94.0
2898,1,1,0,1,1,38.0
3500,1,1,0,1,1,36.0
10754,3,3,2,2,0,111.0
1630,2,1,0,1,0,80.0
7545,3,2,1,2,0,190.0
10400,4,4,3,4,1,186.0
12607,3,4,1,2,0,264.0
3690,2,1,0,1,0,87.0
1827,1,1,0,1,0,35.0
1871,1,1,0,0,0,50.0
15000,6,3,2,6,0,450.0
1850,2,1,0,0,1,57.0
1410,2,1,0,0,0,80.0
10100,3,4,1,3,1,208.0
12100,4,3,1,2,0,290.0
4300,3,2,1,2,0,73.0
15000,10,5,0,8,0,310.0
35800,3,4,3,4,1,236.0
3600,3,2,1,2,0,78.0
3315,2,3,1,2,0,70.0
15500,4,6,4,5,0,465.0
4290,2,2,1,2,0,54.0
6812,1,1,0,1,1,46.0
3242,1,1,0,1,1,28.0
35000,4,8,0,0,0,850.0
3457,1,1,0,0,1,40.0
11560,3,1,1,2,0,210.0
4000,2,2,0,2,0,160.0
3398,2,2,0,1,0,55.0
4400,1,1,1,1,1,45.0
3000,2,2,0,1,0,84.0
2450,1,1,0,0,1,55.0
3800,1,1,0,1,1,29.0
2630,1,1,0,1,0,31.0
3750,1,1,0,1,1,52.0
2800,2,1,0,1,0,52.0
2800,2,3,0,4,0,260.0
5500,3,2,1,2,0,93.0
8000,12,5,0,7,0,220.0
2577,1,1,1,1,1,28.0
8000,3,1,1,2,0,300.0
3700,1,1,0,1,1,30.0
4410,2,3,1,0,0,116.0
3500,1,1,1,1,1,40.0
8295,3,5,2,3,0,155.0
6321,3,2,1,1,0,180.0
20600,3,5,3,5,0,220.0
13990,4,4,3,4,1,311.0
3500,1,1,1,1,1,42.0
18050,2,3,2,2,1,134.0
2240,1,1,1,0,0,30.0
3700,1,1,1,1,1,40.0
3700,1,1,1,1,1,32.0
2275,1,1,0,1,1,28.0
2347,2,2,1,1,0,58.0
4100,1,1,0,1,1,54.0
2900,1,1,1,1,1,30.0
2170,1,1,0,0,1,22.0
3970,1,1,1,1,0,42.0
19700,4,5,2,4,1,280.0
6167,3,2,1,2,0,105.0
2480,1,1,0,1,0,42.0
9750,6,3,0,0,0,170.0
18000,3,5,3,3,0,211.0
2170,2,1,0,1,0,54.0
4036,3,3,1,2,0,98.0
4020,2,1,0,1,1,54.0
7855,1,1,0,0,1,36.0
2644,2,2,0,1,0,60.0
2800,3,2,1,0,0,120.0
7235,2,1,0,1,1,60.0
3630,1,1,0,1,1,40.0
5590,3,2,1,2,0,180.0
6240,2,3,1,1,0,84.0
3500,1,1,1,1,1,29.0
1970,2,1,0,0,0,50.0
3000,1,1,1,1,1,32.0
3967,2,1,0,1,0,68.0
2585,1,1,0,0,1,26.0
4192,3,3,1,2,0,77.0
1600,1,1,0,0,0,18.0
3655,1,1,0,1,1,36.0
19500,4,6,4,6,0,393.0
10200,3,2,2,2,0,280.0
2781,1,1,1,1,1,26.0
7750,2,3,2,2,0,111.0
4000,1,1,1,1,1,31.0
4700,1,1,0,1,1,63.0
3193,1,1,0,1,1,55.0
3420,3,2,1,1,0,124.0
3732,1,1,0,0,0,35.0
3300,3,1,0,0,0,100.0
6810,1,2,0,0,1,72.0
10000,4,8,4,8,0,500.0
9315,1,1,1,2,1,122.0
1302,1,1,0,0,0,34.0
2283,3,2,0,1,0,40.0
7300,3,4,2,2,0,137.0
2396,1,1,0,1,0,41.0
15990,3,3,3,4,0,326.0
2900,1,1,1,1,1,36.0
7080,2,2,2,1,0,80.0
12290,3,3,0,1,1,120.0
3268,2,1,1,2,1,69.0
3300,1,1,1,1,1,38.0
9000,2,2,1,2,1,151.0
4300,1,1,1,1,1,38.0
3250,1,1,1,1,1,42.0
